Unnamed: 0,property_type,claim_id,claim_amount,property_value,pml,deductible,claim_status,payment,incident_date,payment_date,incident_type
3586,house,9b611bad,194810.0,417000.0,83000.0,1000.0,open,20000,2022-08-04,2022-11-02,theft
3587,house,7a96a652,202670.0,525000.0,105000.0,2000.0,settled,200670,2015-08-16,2015-11-14,fire
3588,house,dc482264,181640.0,407000.0,81000.0,1000.0,under investigation,0,2009-02-20,,other
3589,house,6d922e2f,202050.0,417000.0,83000.0,500.0,settled,201550,2017-11-15,2018-02-13,water damage
3590,house,a423464a,182450.0,290000.0,58000.0,1000.0,settled,181450,2016-05-29,2016-08-27,water damage
3591,house,ee52b28f,186550.0,234000.0,47000.0,2000.0,settled,184550,2005-03-07,2005-06-05,fire
3592,house,9bad39e8,194580.0,546000.0,109000.0,1000.0,open,20000,2010-09-11,2010-12-10,theft
3593,house,581d06d6,185290.0,469000.0,94000.0,2000.0,denied,0,2012-09-30,,fire
3594,house,148855ef,189840.0,406000.0,81000.0,5000.0,denied,0,2012-01-30,,nat cat
3595,house,c40549a6,202940.0,520000.0,104000.0,2000.0,settled,200940,2021-03-06,2021-06-04,nat cat
3596,house,e5b50b42,203380.0,572000.0,114000.0,500.0,denied,0,2010-04-02,,fire
3597,house,73240bd9,232910.0,531000.0,106000.0,2000.0,settled,230910,2021-01-06,2021-04-06,fire
3598,house,ad0d3a88,213510.0,516000.0,103000.0,1000.0,settled,212510,2019-10-31,2020-01-29,other
3599,house,6b100e0c,231970.0,362000.0,72000.0,1000.0,settled,230970,2021-09-18,2021-12-17,fire
3600,house,00793f03,207450.0,189000.0,38000.0,1000.0,settled,206450,2023-09-24,2023-12-23,fire
3601,house,62179ee8,187160.0,448000.0,90000.0,2000.0,open,20000,2016-07-24,2016-10-22,theft
3602,house,5ccf7d57,191510.0,276000.0,55000.0,5000.0,settled,186510,2015-09-29,2015-12-28,other
3603,house,6838c8de,186830.0,439000.0,88000.0,1000.0,settled,185830,2009-04-20,2009-07-19,nat cat
3604,house,3d41a16c,204030.0,470000.0,94000.0,2000.0,open,20000,2023-11-18,2024-02-16,theft
3605,house,e940a159,200240.0,485000.0,97000.0,1000.0,settled,199240,2004-06-17,2004-09-15,water damage
3606,house,e56e740c,195400.0,538000.0,108000.0,500.0,under investigation,0,2007-03-13,,fire
3607,house,0f33ce44,202430.0,415000.0,83000.0,500.0,settled,201930,2010-09-08,2010-12-07,other
3608,house,851725de,198620.0,381000.0,76000.0,1000.0,settled,197620,2019-10-29,2020-01-27,nat cat
3609,house,1349455b,217950.0,464000.0,93000.0,2000.0,settled,215950,2007-08-24,2007-11-22,fire
3610,house,24226e92,190780.0,385000.0,77000.0,500.0,settled,190280,2006-06-02,2006-08-31,water damage
3611,house,91d2b975,208940.0,506000.0,101000.0,2000.0,under investigation,0,2009-01-21,,fire
3612,house,f60d40e8,203820.0,337000.0,67000.0,1000.0,settled,202820,2016-04-02,2016-07-01,fire
3613,house,15ee7b15,204790.0,556000.0,111000.0,5000.0,settled,199790,2022-07-13,2022-10-11,fire
3614,house,69448970,173300.0,274000.0,55000.0,2000.0,settled,171300,2012-06-17,2012-09-15,water damage
3615,house,2499c285,188520.0,746000.0,149000.0,500.0,settled,188020,2023-06-23,2023-09-21,water damage
3616,house,bb50186a,179690.0,458000.0,92000.0,500.0,settled,179190,2004-06-25,2004-09-23,water damage
3617,house,ba96eabf,179540.0,155000.0,31000.0,2000.0,settled,177540,2020-10-14,2021-01-12,fire
3618,house,ba1268e1,181980.0,447000.0,89000.0,1000.0,under investigation,0,2008-08-18,,fire
3619,house,4078ddee,215530.0,577000.0,115000.0,500.0,open,20000,2006-05-21,2006-08-19,theft
3620,house,291b78b2,198900.0,460000.0,92000.0,2000.0,settled,196900,2015-04-06,2015-07-05,fire
3621,house,164724f5,182730.0,482000.0,96000.0,1000.0,settled,181730,2013-04-21,2013-07-20,nat cat
3622,house,0beba828,211820.0,359000.0,72000.0,2000.0,settled,209820,2013-01-06,2013-04-06,nat cat
3623,house,ab3d11d5,205300.0,235000.0,47000.0,5000.0,settled,200300,2004-06-07,2004-09-05,other
3624,house,31245e2c,225970.0,528000.0,106000.0,2000.0,settled,223970,2006-08-05,2006-11-03,fire
3625,house,1698a038,203680.0,580000.0,116000.0,2000.0,settled,201680,2021-07-30,2021-10-28,other
3626,house,b9d443bc,202320.0,344000.0,69000.0,500.0,settled,201820,2018-06-20,2018-09-18,fire
3627,house,ab702685,180300.0,539000.0,108000.0,1000.0,settled,179300,2023-08-12,2023-11-10,water damage
3628,house,a3f414af,180480.0,404000.0,81000.0,5000.0,settled,175480,2018-07-17,2018-10-15,water damage
3629,house,8a12f782,195060.0,219000.0,44000.0,1000.0,settled,194060,2023-09-06,2023-12-05,fire
3630,house,2e6533fc,213890.0,435000.0,87000.0,2000.0,settled,211890,2012-06-22,2012-09-20,fire
3631,house,e0045fcc,185400.0,211000.0,42000.0,1000.0,under investigation,0,2021-12-07,,fire
3632,house,53d9aa28,210230.0,161000.0,32000.0,1000.0,open,20000,2013-09-19,2013-12-18,theft
3633,house,80cb751b,205120.0,528000.0,106000.0,500.0,settled,204620,2014-08-29,2014-11-27,fire
3634,house,4b67f271,186930.0,605000.0,121000.0,500.0,settled,186430,2005-05-05,2005-08-03,fire
3635,house,803ea65f,216350.0,143000.0,29000.0,5000.0,denied,0,2019-02-12,,other
3636,house,75f14db8,188040.0,563000.0,113000.0,5000.0,settled,183040,2016-08-04,2016-11-02,water damage
3637,house,be3aaa7b,199850.0,581000.0,116000.0,5000.0,settled,194850,2020-11-19,2021-02-17,other
3638,house,d555d08a,184950.0,334000.0,67000.0,2000.0,open,20000,2005-11-15,2006-02-13,theft
3639,house,83b02963,191160.0,692000.0,138000.0,1000.0,settled,190160,2007-06-26,2007-09-24,water damage
3640,house,d0e90602,180500.0,532000.0,106000.0,5000.0,settled,175500,2006-03-16,2006-06-14,nat cat
3641,house,29314df8,201600.0,354000.0,71000.0,5000.0,settled,196600,2010-06-18,2010-09-16,fire
3642,house,c4985fb1,210240.0,426000.0,85000.0,5000.0,settled,205240,2007-07-26,2007-10-24,fire
3643,house,29c4f45f,217860.0,553000.0,111000.0,500.0,settled,217360,2023-10-08,2024-01-06,nat cat
3644,house,cbfc8f38,200610.0,367000.0,73000.0,500.0,settled,200110,2004-01-31,2004-04-30,fire
3645,house,ff3730b0,209270.0,131000.0,26000.0,1000.0,settled,208270,2014-12-13,2015-03-13,other
3646,house,8e5ba4ea,205390.0,264000.0,53000.0,1000.0,settled,204390,2017-05-16,2017-08-14,fire
3647,house,32ae53d0,199490.0,582000.0,116000.0,2000.0,open,20000,2019-07-01,2019-09-29,theft
3648,house,af579f9d,198650.0,204000.0,41000.0,5000.0,settled,193650,2005-08-26,2005-11-24,water damage
3649,house,ad271193,206260.0,597000.0,119000.0,2000.0,settled,204260,2007-01-24,2007-04-24,nat cat
3650,house,a53bf594,222010.0,409000.0,82000.0,5000.0,settled,217010,2021-02-06,2021-05-07,fire
3651,house,f85f976b,205270.0,461000.0,92000.0,2000.0,under investigation,0,2021-10-26,,other
3652,house,d8dca502,222240.0,575000.0,115000.0,500.0,settled,221740,2017-08-21,2017-11-19,nat cat
3653,house,0713ad2f,174450.0,324000.0,65000.0,500.0,settled,173950,2016-07-13,2016-10-11,other
3654,house,b308587b,222120.0,372000.0,74000.0,1000.0,open,20000,2018-09-15,2018-12-14,theft
3655,house,2f509c09,207350.0,371000.0,74000.0,500.0,settled,206850,2016-11-17,2017-02-15,fire
3656,house,ed82e9ac,201200.0,404000.0,81000.0,500.0,open,20000,2013-03-09,2013-06-07,theft
3657,house,64e6bb46,199580.0,372000.0,74000.0,2000.0,open,20000,2010-05-02,2010-07-31,theft
3658,house,17e4c8a9,175440.0,577000.0,115000.0,2000.0,open,20000,2010-12-04,2011-03-04,theft
3659,house,a40e67cd,216790.0,278000.0,56000.0,2000.0,settled,214790,2010-03-03,2010-06-01,water damage
3660,house,2db3ff78,183790.0,380000.0,76000.0,2000.0,settled,181790,2021-04-12,2021-07-11,other
3661,house,7bc04d1d,209900.0,581000.0,116000.0,500.0,settled,209400,2009-05-27,2009-08-25,nat cat
3662,house,8c6cb667,204500.0,556000.0,111000.0,2000.0,settled,202500,2018-10-09,2019-01-07,fire
3663,house,d5db2d25,205570.0,617000.0,123000.0,1000.0,settled,204570,2018-08-29,2018-11-27,fire
3664,house,72766198,206880.0,520000.0,104000.0,500.0,settled,206380,2011-01-06,2011-04-06,fire
3665,house,7d641a4d,212530.0,351000.0,70000.0,500.0,denied,0,2016-10-03,,fire
3666,house,8b66dc1e,213330.0,463000.0,93000.0,5000.0,settled,208330,2006-09-29,2006-12-28,other
3667,house,b2c2ea7a,204790.0,589000.0,118000.0,1000.0,settled,203790,2019-02-15,2019-05-16,other
3668,house,0dbcf3bf,200090.0,229000.0,46000.0,500.0,settled,199590,2008-07-12,2008-10-10,fire
3669,house,9c65286d,212770.0,453000.0,91000.0,1000.0,settled,211770,2016-06-26,2016-09-24,fire
3670,house,12014969,187720.0,113000.0,23000.0,500.0,settled,187220,2005-07-10,2005-10-08,fire
3671,house,fe6964bc,201120.0,585000.0,117000.0,5000.0,settled,196120,2020-06-27,2020-09-25,fire
3672,house,c848fbaa,197090.0,366000.0,73000.0,5000.0,settled,192090,2006-08-12,2006-11-10,fire
3673,house,8e7a3af9,194480.0,559000.0,112000.0,5000.0,under investigation,0,2004-12-17,,other
3674,house,6b650cf0,192230.0,370000.0,74000.0,5000.0,settled,187230,2022-04-08,2022-07-07,water damage
3675,house,2314c14d,174070.0,465000.0,93000.0,2000.0,settled,172070,2012-05-08,2012-08-06,fire
3676,house,11ee3118,193930.0,341000.0,68000.0,2000.0,under investigation,0,2010-08-07,,fire
3677,house,ec5ebc01,179250.0,389000.0,78000.0,5000.0,settled,174250,2011-05-23,2011-08-21,nat cat
3678,house,86dc8826,199380.0,562000.0,112000.0,1000.0,settled,198380,2022-08-08,2022-11-06,other
3679,house,ac86554f,210640.0,498000.0,100000.0,1000.0,settled,209640,2007-05-02,2007-07-31,fire
3680,house,aae6bb2d,207840.0,410000.0,82000.0,1000.0,settled,206840,2009-09-26,2009-12-25,fire
3681,house,99609cde,218030.0,583000.0,117000.0,500.0,under investigation,0,2007-05-28,,fire
3682,house,ca4f1f3e,195480.0,513000.0,103000.0,2000.0,settled,193480,2010-05-03,2010-08-01,nat cat
3683,house,035ca001,199410.0,342000.0,68000.0,2000.0,settled,197410,2017-06-24,2017-09-22,fire
3684,house,6699c9b2,214780.0,461000.0,92000.0,1000.0,settled,213780,2005-02-02,2005-05-03,fire
3685,house,9d5f4162,193750.0,259000.0,52000.0,500.0,under investigation,0,2021-12-27,,water damage
3686,house,e46b62e1,206100.0,579000.0,116000.0,500.0,settled,205600,2006-03-18,2006-06-16,other
3687,house,f9536690,183140.0,331000.0,66000.0,2000.0,settled,181140,2013-07-27,2013-10-25,fire
3688,house,456ff097,194800.0,457000.0,91000.0,500.0,under investigation,0,2011-12-15,,fire
3689,house,183e49dc,194170.0,546000.0,109000.0,2000.0,under investigation,0,2023-09-01,,water damage
3690,house,49b7f3b3,200370.0,353000.0,71000.0,1000.0,open,20000,2006-03-23,2006-06-21,theft
3691,house,9d09bca6,197640.0,390000.0,78000.0,500.0,settled,197140,2023-07-04,2023-10-02,fire
3692,house,f76717ba,187780.0,301000.0,60000.0,500.0,settled,187280,2020-02-24,2020-05-24,nat cat
3693,house,5ea15c62,201390.0,143000.0,29000.0,500.0,settled,200890,2019-11-08,2020-02-06,fire
3694,house,328e42d8,192020.0,600000.0,120000.0,2000.0,settled,190020,2023-05-04,2023-08-02,nat cat
3695,house,1ffc2172,189120.0,482000.0,96000.0,5000.0,open,20000,2020-05-28,2020-08-26,theft
3696,house,f169c3ad,176790.0,461000.0,92000.0,1000.0,settled,175790,2008-11-24,2009-02-22,nat cat
3697,house,4b1dc1c0,203540.0,505000.0,101000.0,2000.0,settled,201540,2015-03-03,2015-06-01,fire
3698,house,58bc3b4d,197140.0,449000.0,90000.0,500.0,settled,196640,2006-08-14,2006-11-12,fire
3699,house,30bd3a30,208900.0,420000.0,84000.0,2000.0,settled,206900,2010-04-13,2010-07-12,nat cat
3700,house,40f83ca0,204420.0,692000.0,138000.0,1000.0,settled,203420,2009-02-19,2009-05-20,fire
3701,house,26315404,211190.0,538000.0,108000.0,5000.0,open,20000,2009-10-09,2010-01-07,theft
3702,house,571a1521,194880.0,535000.0,107000.0,500.0,settled,194380,2017-02-16,2017-05-17,fire
3703,house,e6bd8eda,195340.0,116000.0,23000.0,1000.0,under investigation,0,2016-10-14,,water damage
3704,house,ba7ce4af,205160.0,373000.0,75000.0,2000.0,settled,203160,2009-12-27,2010-03-27,fire
3705,house,931399d3,207540.0,616000.0,123000.0,5000.0,under investigation,0,2012-09-06,,water damage
3706,house,009f2bf1,206560.0,346000.0,69000.0,500.0,settled,206060,2012-09-07,2012-12-06,fire
3707,house,9adc973c,228490.0,414000.0,83000.0,500.0,under investigation,0,2009-03-17,,nat cat
3708,house,faf4bc94,171850.0,398000.0,80000.0,5000.0,open,20000,2009-07-31,2009-10-29,theft
3709,house,8e9f3b36,218550.0,365000.0,73000.0,2000.0,settled,216550,2009-10-15,2010-01-13,water damage
3710,house,8b70ee45,173880.0,444000.0,89000.0,500.0,settled,173380,2011-01-24,2011-04-24,nat cat
3711,house,85197b38,190530.0,379000.0,76000.0,5000.0,under investigation,0,2020-05-26,,water damage
3712,house,1d565753,198380.0,349000.0,70000.0,1000.0,settled,197380,2011-07-18,2011-10-16,fire
3713,house,4d8ce62c,207930.0,280000.0,56000.0,5000.0,settled,202930,2014-03-25,2014-06-23,fire
3714,house,d084b908,188990.0,667000.0,133000.0,5000.0,settled,183990,2009-12-26,2010-03-26,nat cat
3715,house,19f25f5d,172020.0,700000.0,140000.0,1000.0,settled,171020,2017-06-17,2017-09-15,fire
3716,house,414003df,196150.0,325000.0,65000.0,500.0,settled,195650,2021-06-15,2021-09-13,water damage
3717,house,740f612e,211570.0,133000.0,27000.0,5000.0,under investigation,0,2021-12-21,,nat cat
3718,house,c30023c5,200240.0,605000.0,121000.0,500.0,settled,199740,2020-07-02,2020-09-30,water damage
3719,house,0f282dde,197540.0,444000.0,89000.0,5000.0,settled,192540,2017-03-26,2017-06-24,other
3720,house,a0d4dbe2,211970.0,662000.0,132000.0,1000.0,settled,210970,2015-07-10,2015-10-08,fire
3721,house,594f1483,202930.0,470000.0,94000.0,5000.0,open,20000,2013-08-26,2013-11-24,theft
3722,house,4fec53e2,186730.0,141000.0,28000.0,5000.0,settled,181730,2023-08-06,2023-11-04,fire
3723,house,66fcd0fb,208670.0,516000.0,103000.0,500.0,under investigation,0,2011-01-04,,other
3724,house,c3aeb6a7,195910.0,440000.0,88000.0,2000.0,settled,193910,2017-03-10,2017-06-08,other
3725,house,4cec360e,207120.0,488000.0,98000.0,1000.0,settled,206120,2016-03-31,2016-06-29,water damage
3726,house,6b68f359,169140.0,602000.0,120000.0,500.0,settled,168640,2007-08-25,2007-11-23,fire
3727,house,5cc3ee2e,194980.0,241000.0,48000.0,2000.0,denied,0,2006-10-23,,nat cat
3728,house,c0812904,217570.0,481000.0,96000.0,2000.0,under investigation,0,2011-10-31,,fire
3729,house,71511393,202120.0,435000.0,87000.0,5000.0,settled,197120,2019-11-23,2020-02-21,water damage
3730,house,145198a3,208690.0,278000.0,56000.0,1000.0,under investigation,0,2005-07-22,,fire
3731,house,780d5991,207000.0,239000.0,48000.0,1000.0,settled,206000,2009-01-25,2009-04-25,water damage
3732,house,8e55e98b,190560.0,333000.0,67000.0,5000.0,settled,185560,2008-05-24,2008-08-22,water damage
3733,house,f91a4222,174240.0,147000.0,29000.0,500.0,under investigation,0,2011-10-14,,nat cat
3734,house,afe94312,198930.0,710000.0,142000.0,5000.0,open,20000,2017-07-10,2017-10-08,theft
3735,house,e95789c1,180140.0,405000.0,81000.0,500.0,settled,179640,2022-04-28,2022-07-27,nat cat
3736,house,2bc11747,207870.0,448000.0,90000.0,5000.0,settled,202870,2021-10-26,2022-01-24,water damage
3737,house,d13a2733,218220.0,355000.0,71000.0,1000.0,settled,217220,2023-08-20,2023-11-18,other
3738,house,2fa8bdca,183390.0,532000.0,106000.0,2000.0,settled,181390,2018-12-14,2019-03-14,other
3739,house,26c90efc,215460.0,377000.0,75000.0,5000.0,settled,210460,2016-03-15,2016-06-13,water damage
3740,house,dad1bc65,226060.0,457000.0,91000.0,2000.0,settled,224060,2013-01-24,2013-04-24,water damage
3741,house,2876ee77,188750.0,176000.0,35000.0,5000.0,settled,183750,2008-04-18,2008-07-17,fire
3742,house,9d63daeb,193680.0,159000.0,32000.0,2000.0,settled,191680,2011-02-07,2011-05-08,water damage
3743,house,82310d66,224050.0,607000.0,121000.0,2000.0,settled,222050,2015-12-02,2016-03-01,fire
3744,house,d9d7d36e,195640.0,294000.0,59000.0,1000.0,settled,194640,2015-01-03,2015-04-03,nat cat
3745,house,da47f71a,213110.0,650000.0,130000.0,500.0,settled,212610,2006-01-20,2006-04-20,fire
3746,house,90a77c18,191870.0,730000.0,146000.0,2000.0,settled,189870,2013-11-22,2014-02-20,fire
3747,house,0c21e08b,207170.0,427000.0,85000.0,2000.0,settled,205170,2005-02-05,2005-05-06,water damage
3748,house,b59e73f9,163860.0,567000.0,113000.0,500.0,settled,163360,2006-04-20,2006-07-19,fire
3749,house,ab011734,190740.0,422000.0,84000.0,2000.0,settled,188740,2008-03-21,2008-06-19,water damage
3750,house,97864864,183370.0,263000.0,53000.0,500.0,settled,182870,2007-12-28,2008-03-27,water damage
3751,house,6c75e95a,198380.0,307000.0,61000.0,5000.0,settled,193380,2012-06-09,2012-09-07,fire
3752,house,716487f8,208290.0,531000.0,106000.0,2000.0,settled,206290,2005-02-16,2005-05-17,fire
3753,house,ab5cd9a6,199740.0,519000.0,104000.0,2000.0,settled,197740,2020-08-16,2020-11-14,fire
3754,house,9f4d7699,180530.0,95000.0,19000.0,5000.0,settled,175530,2021-01-30,2021-04-30,other
3755,house,f2ad23d6,182370.0,617000.0,123000.0,1000.0,under investigation,0,2008-11-08,,fire
3756,house,829e140e,214500.0,554000.0,111000.0,2000.0,settled,212500,2007-11-08,2008-02-06,fire
3757,house,eaa8cecc,191880.0,330000.0,66000.0,500.0,denied,0,2011-12-29,,water damage
3758,house,f53a2916,210920.0,294000.0,59000.0,2000.0,open,20000,2004-08-28,2004-11-26,theft
3759,house,d195541b,190610.0,302000.0,60000.0,5000.0,denied,0,2014-10-10,,fire
3760,house,e991faf8,232100.0,486000.0,97000.0,5000.0,settled,227100,2020-03-24,2020-06-22,water damage
3761,house,9f0b9947,204730.0,253000.0,51000.0,5000.0,settled,199730,2021-12-29,2022-03-29,fire
3762,house,bfdbeeb8,192470.0,490000.0,98000.0,500.0,denied,0,2019-04-30,,fire
3763,house,89f61ee1,182350.0,524000.0,105000.0,2000.0,settled,180350,2007-11-05,2008-02-03,water damage
3764,house,413f042d,197710.0,364000.0,73000.0,2000.0,settled,195710,2019-04-10,2019-07-09,water damage
3765,house,a6b89d47,192240.0,335000.0,67000.0,2000.0,under investigation,0,2004-12-17,,water damage
3766,house,5ec767fc,203440.0,266000.0,53000.0,500.0,settled,202940,2022-02-23,2022-05-24,fire
3767,house,cf38b536,180050.0,346000.0,69000.0,2000.0,open,20000,2006-05-02,2006-07-31,theft
3768,house,98549c41,186260.0,306000.0,61000.0,5000.0,under investigation,0,2010-12-31,,water damage
3769,house,d8c423ad,178780.0,456000.0,91000.0,1000.0,under investigation,0,2005-07-12,,fire
3770,house,5dd1afbd,207180.0,334000.0,67000.0,2000.0,denied,0,2012-07-08,,fire
3771,house,c4b7f825,204430.0,472000.0,94000.0,1000.0,settled,203430,2005-09-05,2005-12-04,water damage
3772,house,b9ecbe25,192980.0,276000.0,55000.0,1000.0,settled,191980,2015-12-20,2016-03-19,nat cat
3773,house,482efc8d,234100.0,393000.0,79000.0,1000.0,settled,233100,2009-01-24,2009-04-24,fire
3774,house,bb070ccf,176890.0,318000.0,64000.0,5000.0,open,20000,2009-01-20,2009-04-20,theft
3775,house,0e7abcd3,210770.0,428000.0,86000.0,1000.0,settled,209770,2023-07-31,2023-10-29,fire
3776,house,cc68a76c,171360.0,416000.0,83000.0,500.0,settled,170860,2014-11-01,2015-01-30,water damage
3777,house,b0cf1bd3,203670.0,197000.0,39000.0,2000.0,settled,201670,2017-01-09,2017-04-09,water damage
3778,house,6b2c614c,192310.0,659000.0,132000.0,2000.0,denied,0,2012-01-06,,water damage
3779,house,4fdffde4,217970.0,511000.0,102000.0,5000.0,settled,212970,2012-03-03,2012-06-01,water damage
3780,house,853a79ee,206850.0,767000.0,153000.0,1000.0,settled,205850,2019-11-16,2020-02-14,fire
3781,house,00d535cf,198250.0,466000.0,93000.0,2000.0,settled,196250,2020-11-22,2021-02-20,water damage
3782,house,d02c28cd,195090.0,381000.0,76000.0,1000.0,settled,194090,2004-07-25,2004-10-23,fire
3783,house,f3ba5af9,194750.0,135000.0,27000.0,1000.0,under investigation,0,2014-07-23,,water damage
3784,house,ee839e44,190860.0,237000.0,47000.0,1000.0,settled,189860,2016-05-06,2016-08-04,water damage
3785,house,c258126c,182660.0,436000.0,87000.0,1000.0,settled,181660,2012-05-09,2012-08-07,fire
3786,house,09724dfd,182620.0,340000.0,68000.0,500.0,settled,182120,2011-12-07,2012-03-06,fire
3787,house,4d976d26,211810.0,225000.0,45000.0,5000.0,settled,206810,2004-04-15,2004-07-14,water damage
3788,house,5f09d6c4,189840.0,531000.0,106000.0,500.0,settled,189340,2013-08-12,2013-11-10,nat cat
3789,house,5675927d,205230.0,476000.0,95000.0,1000.0,settled,204230,2009-06-06,2009-09-04,nat cat
3790,house,10a6629d,208270.0,363000.0,73000.0,500.0,under investigation,0,2023-02-14,,other
3791,house,cf5b2fd9,199130.0,388000.0,78000.0,2000.0,settled,197130,2012-11-28,2013-02-26,nat cat
3792,house,7de22e2c,215310.0,468000.0,94000.0,2000.0,settled,213310,2015-07-24,2015-10-22,water damage
3793,house,373012dd,188800.0,630000.0,126000.0,2000.0,settled,186800,2010-05-29,2010-08-27,other
3794,house,3e5bc1db,229210.0,486000.0,97000.0,5000.0,settled,224210,2009-03-14,2009-06-12,other
3795,house,178941bd,179880.0,698000.0,140000.0,5000.0,settled,174880,2020-05-18,2020-08-16,nat cat
3796,house,53a922b3,193680.0,376000.0,75000.0,500.0,settled,193180,2012-02-06,2012-05-06,nat cat
3797,house,c237f33b,197180.0,645000.0,129000.0,1000.0,denied,0,2019-01-06,,fire
3798,house,fff666d7,201350.0,585000.0,117000.0,500.0,settled,200850,2010-08-11,2010-11-09,nat cat
3799,house,9400a7b9,191480.0,490000.0,98000.0,500.0,denied,0,2006-04-30,,water damage
3800,house,b150a9a2,206340.0,599000.0,120000.0,500.0,open,20000,2018-04-06,2018-07-05,theft
3801,house,8320be7e,184350.0,363000.0,73000.0,5000.0,settled,179350,2006-05-29,2006-08-27,fire
3802,house,9537259b,194920.0,433000.0,87000.0,1000.0,settled,193920,2010-05-12,2010-08-10,nat cat
3803,house,cafbdbe5,208350.0,721000.0,144000.0,2000.0,settled,206350,2012-03-21,2012-06-19,water damage
3804,house,644b053e,201380.0,77000.0,15000.0,500.0,settled,200880,2017-10-02,2017-12-31,fire
3805,house,96fc54a4,189650.0,358000.0,72000.0,500.0,settled,189150,2012-05-05,2012-08-03,other
3806,house,27036bc8,227020.0,175000.0,35000.0,500.0,settled,226520,2016-01-25,2016-04-24,fire
3807,house,722fb3fe,218030.0,464000.0,93000.0,1000.0,settled,217030,2014-08-08,2014-11-06,fire
3808,house,afac37f1,213290.0,472000.0,94000.0,1000.0,settled,212290,2020-03-23,2020-06-21,water damage
3809,house,54488774,194890.0,879000.0,176000.0,5000.0,under investigation,0,2013-11-03,,fire
3810,house,e0ee6539,194550.0,505000.0,101000.0,1000.0,open,20000,2006-05-24,2006-08-22,theft
3811,house,45d78a27,204960.0,572000.0,114000.0,500.0,settled,204460,2010-07-04,2010-10-02,nat cat
3812,house,e10859a0,178620.0,452000.0,90000.0,1000.0,settled,177620,2020-12-04,2021-03-04,nat cat
3813,house,dcf63859,178370.0,248000.0,50000.0,1000.0,denied,0,2022-12-16,,fire
3814,house,7a84d168,195580.0,422000.0,84000.0,1000.0,under investigation,0,2022-07-20,,water damage
3815,house,fb955b62,204240.0,351000.0,70000.0,500.0,settled,203740,2020-12-23,2021-03-23,water damage
3816,house,6d8db1c1,198000.0,644000.0,129000.0,2000.0,open,20000,2007-08-25,2007-11-23,theft
3817,house,e1415e6a,210560.0,517000.0,103000.0,1000.0,settled,209560,2017-05-13,2017-08-11,water damage
3818,house,a79037f0,193690.0,370000.0,74000.0,2000.0,settled,191690,2013-11-05,2014-02-03,fire
3819,house,39eeadb9,191390.0,321000.0,64000.0,5000.0,settled,186390,2023-04-10,2023-07-09,other
3820,house,fc8a526d,192810.0,166000.0,33000.0,2000.0,settled,190810,2005-09-24,2005-12-23,nat cat
3821,house,2477b545,192390.0,592000.0,118000.0,2000.0,settled,190390,2007-10-09,2008-01-07,nat cat
3822,house,b72d03ca,243220.0,518000.0,104000.0,1000.0,settled,242220,2006-12-24,2007-03-24,water damage
3823,house,1bae27b5,199000.0,202000.0,40000.0,500.0,settled,198500,2004-03-12,2004-06-10,water damage
3824,house,887e1d62,197560.0,372000.0,74000.0,2000.0,settled,195560,2012-11-27,2013-02-25,nat cat
3825,house,89a9e46e,201550.0,430000.0,86000.0,1000.0,settled,200550,2008-08-14,2008-11-12,other
3826,house,afefc73b,207450.0,165000.0,33000.0,2000.0,settled,205450,2020-04-25,2020-07-24,fire
3827,house,7c6b246a,190960.0,351000.0,70000.0,2000.0,settled,188960,2020-05-30,2020-08-28,other
3828,house,bb36f2f6,205670.0,525000.0,105000.0,1000.0,settled,204670,2012-06-29,2012-09-27,fire
3829,house,3ef56925,197720.0,294000.0,59000.0,500.0,settled,197220,2020-11-20,2021-02-18,water damage
3830,house,2cfdd32e,212530.0,399000.0,80000.0,1000.0,settled,211530,2021-01-15,2021-04-15,other
3831,house,a77ebca1,199470.0,238000.0,48000.0,1000.0,settled,198470,2009-07-16,2009-10-14,fire
3832,house,00d753eb,220490.0,418000.0,84000.0,5000.0,under investigation,0,2014-01-16,,nat cat
3833,house,50ad6704,214360.0,438000.0,88000.0,2000.0,settled,212360,2022-09-11,2022-12-10,water damage
3834,house,22f161df,196770.0,571000.0,114000.0,5000.0,denied,0,2023-04-06,,fire
3835,house,919a6bbb,184000.0,503000.0,101000.0,1000.0,settled,183000,2008-02-09,2008-05-09,fire
3836,house,cc5a0cb6,193320.0,641000.0,128000.0,5000.0,settled,188320,2010-07-21,2010-10-19,water damage
3837,house,953b46d9,208700.0,243000.0,49000.0,1000.0,settled,207700,2019-08-23,2019-11-21,nat cat
3838,house,120b42de,198500.0,437000.0,87000.0,5000.0,denied,0,2011-01-27,,other
3839,house,e1c04829,187440.0,508000.0,102000.0,2000.0,settled,185440,2011-03-31,2011-06-29,water damage
3840,house,e156964d,229350.0,244000.0,49000.0,500.0,settled,228850,2005-06-29,2005-09-27,nat cat
3841,house,d2fae6a1,197630.0,560000.0,112000.0,500.0,settled,197130,2016-06-19,2016-09-17,nat cat
3842,house,230e4c79,195180.0,237000.0,47000.0,5000.0,under investigation,0,2009-01-04,,nat cat
3843,house,f7620dc5,186560.0,386000.0,77000.0,500.0,open,20000,2004-05-18,2004-08-16,theft
3844,house,d015525e,192140.0,549000.0,110000.0,500.0,under investigation,0,2006-04-23,,fire
3845,house,f491b157,193140.0,376000.0,75000.0,1000.0,settled,192140,2017-11-15,2018-02-13,fire
