"","property_type","claim_id","claim_amount","property_value","pml","deductible","claim_status","payment","incident_date","payment_date","incident_type"
"1873","house","aa5ffd7c",186220,796000,159000,500,"denied",0,2016-12-16,NA,"fire"
"1874","house","e3abf464",183200,352000,70000,2000,"settled",181200,2009-11-14,2010-02-12,"fire"
"1875","house","97a8d62e",204340,541000,108000,5000,"settled",199340,2004-05-10,2004-08-08,"fire"
"1876","house","1c846d03",184620,457000,91000,5000,"settled",179620,2012-09-20,2012-12-19,"nat cat"
"1877","house","b73ec273",182790,548000,110000,5000,"settled",177790,2014-05-29,2014-08-27,"fire"
"1878","house","28592910",191370,544000,109000,2000,"settled",189370,2021-03-13,2021-06-11,"nat cat"
"1879","house","c124e62f",185530,468000,94000,2000,"settled",183530,2007-09-06,2007-12-05,"nat cat"
"1880","house","14b38329",194060,548000,110000,500,"settled",193560,2011-10-06,2012-01-04,"fire"
"1881","house","d677594d",196890,768000,154000,5000,"under investigation",0,2011-04-02,NA,"fire"
"1882","house","230ccd62",180020,425000,85000,1000,"settled",179020,2014-03-15,2014-06-13,"water damage"
"1883","house","cdc92536",181460,440000,88000,500,"under investigation",0,2020-03-24,NA,"water damage"
"1884","house","69332f46",198530,615000,123000,1000,"settled",197530,2022-05-28,2022-08-26,"other"
"1885","house","1d119eaf",209130,532000,106000,1000,"settled",208130,2004-06-05,2004-09-03,"other"
"1886","house","ade71498",193530,446000,89000,500,"open",20000,2015-10-13,2016-01-11,"theft"
"1887","house","c7035f14",176690,550000,110000,500,"settled",176190,2007-02-02,2007-05-03,"water damage"
"1888","house","ce7f3d78",200030,366000,73000,5000,"settled",195030,2021-08-18,2021-11-16,"water damage"
"1889","house","34e51a4e",198840,648000,130000,500,"settled",198340,2016-05-08,2016-08-06,"fire"
"1890","house","4a40edf1",208320,478000,96000,2000,"settled",206320,2004-11-03,2005-02-01,"other"
"1891","house","0377eba6",185020,537000,107000,2000,"under investigation",0,2017-02-20,NA,"nat cat"
"1892","house","c89bc04e",212230,644000,129000,5000,"open",20000,2022-11-03,2023-02-01,"theft"
"1893","house","48859db4",190200,403000,81000,500,"settled",189700,2012-03-26,2012-06-24,"nat cat"
"1894","house","2aebbfa9",200870,454000,91000,5000,"under investigation",0,2021-11-15,NA,"other"
"1895","house","6a3e49c4",209550,474000,95000,500,"settled",209050,2005-09-09,2005-12-08,"water damage"
"1896","house","92c26411",183850,458000,92000,500,"under investigation",0,2023-07-04,NA,"water damage"
"1897","house","36d46880",197950,301000,60000,5000,"settled",192950,2007-05-12,2007-08-10,"water damage"
"1898","house","02718964",196110,70000,14000,2000,"settled",194110,2008-12-08,2009-03-08,"nat cat"
"1899","house","a5ddf646",225530,219000,44000,1000,"open",20000,2008-03-22,2008-06-20,"theft"
"1900","house","432ef7a1",212270,360000,72000,2000,"under investigation",0,2023-10-28,NA,"fire"
"1901","house","d4c1fc7a",172450,586000,117000,5000,"settled",167450,2013-07-30,2013-10-28,"water damage"
"1902","house","7f38fe97",194720,160000,32000,2000,"settled",192720,2007-10-07,2008-01-05,"nat cat"
"1903","house","2b1a6871",190730,568000,114000,500,"settled",190230,2006-04-20,2006-07-19,"water damage"
"1904","house","6ae32bff",182180,451000,90000,500,"settled",181680,2020-01-20,2020-04-19,"other"
"1905","house","81063b27",218460,501000,1e+05,2000,"denied",0,2021-09-07,NA,"fire"
"1906","house","bc98a513",193400,580000,116000,5000,"settled",188400,2021-08-13,2021-11-11,"water damage"
"1907","house","717ffcfa",172270,320000,64000,5000,"settled",167270,2010-08-07,2010-11-05,"water damage"
"1908","house","630ef040",203030,799000,160000,5000,"settled",198030,2007-04-09,2007-07-08,"fire"
"1909","house","3f4b5e30",186600,408000,82000,5000,"settled",181600,2018-01-03,2018-04-03,"other"
"1910","house","da4b75e1",213470,558000,112000,1000,"settled",212470,2010-11-16,2011-02-14,"water damage"
"1911","house","4c4cd26d",191680,605000,121000,2000,"under investigation",0,2015-12-15,NA,"other"
"1912","house","ea4d5bb6",198320,448000,90000,500,"settled",197820,2018-05-25,2018-08-23,"fire"
"1913","house","3dd36be4",199160,462000,92000,1000,"settled",198160,2004-07-25,2004-10-23,"other"
"1914","house","44a32954",213340,304000,61000,1000,"settled",212340,2021-09-01,2021-11-30,"nat cat"
"1915","house","b8a34f2b",206810,397000,79000,2000,"settled",204810,2007-02-27,2007-05-28,"nat cat"
"1916","house","8b607b26",205690,550000,110000,500,"settled",205190,2021-03-12,2021-06-10,"nat cat"
"1917","house","be92427d",193430,316000,63000,500,"settled",192930,2015-07-19,2015-10-17,"water damage"
"1918","house","14b8330b",205520,421000,84000,500,"under investigation",0,2019-03-22,NA,"fire"
"1919","house","fb1358a3",205700,249000,50000,500,"settled",205200,2010-05-17,2010-08-15,"water damage"
"1920","house","fc1969eb",193380,385000,77000,1000,"settled",192380,2005-11-13,2006-02-11,"fire"
"1921","house","d72189f0",194120,574000,115000,2000,"under investigation",0,2011-08-22,NA,"nat cat"
"1922","house","49b1ec15",231950,528000,106000,2000,"settled",229950,2012-10-11,2013-01-09,"fire"
"1923","house","3853cbb9",216070,319000,64000,2000,"settled",214070,2013-12-30,2014-03-30,"fire"
"1924","house","72e9be37",198450,664000,133000,500,"under investigation",0,2006-02-20,NA,"fire"
"1925","house","ecf82b35",199590,412000,82000,1000,"settled",198590,2023-10-21,2024-01-19,"fire"
"1926","house","5021e78d",191060,376000,75000,1000,"settled",190060,2009-01-22,2009-04-22,"other"
"1927","house","878df0e1",179670,283000,57000,2000,"open",20000,2012-10-05,2013-01-03,"theft"
"1928","house","6b9e4967",230680,529000,106000,500,"open",20000,2006-09-18,2006-12-17,"theft"
"1929","house","7431af94",231710,266000,53000,1000,"settled",230710,2018-01-07,2018-04-07,"other"
"1930","house","730eb2c5",212910,372000,74000,2000,"settled",210910,2021-08-27,2021-11-25,"water damage"
"1931","house","6dd3188b",191630,542000,108000,1000,"denied",0,2018-04-16,NA,"other"
"1932","house","e8f8bca3",216800,703000,141000,1000,"settled",215800,2008-01-31,2008-04-30,"nat cat"
"1933","house","96cb6724",206810,567000,113000,1000,"settled",205810,2010-10-14,2011-01-12,"nat cat"
"1934","house","a2e94376",189940,286000,57000,500,"open",20000,2011-06-28,2011-09-26,"theft"
"1935","house","4c52f822",185790,451000,90000,500,"denied",0,2009-01-09,NA,"other"
"1936","house","61921d37",203700,542000,108000,5000,"settled",198700,2011-03-12,2011-06-10,"nat cat"
"1937","house","03926c81",193710,304000,61000,5000,"settled",188710,2012-09-19,2012-12-18,"water damage"
"1938","house","544f7cd2",201580,733000,147000,1000,"under investigation",0,2022-06-01,NA,"fire"
"1939","house","8cb59fb4",184960,407000,81000,1000,"settled",183960,2005-03-25,2005-06-23,"nat cat"
"1940","house","f349e93b",226930,538000,108000,5000,"denied",0,2020-10-01,NA,"nat cat"
"1941","house","39bc444a",179380,461000,92000,5000,"settled",174380,2015-11-26,2016-02-24,"nat cat"
"1942","house","a42647aa",197950,721000,144000,5000,"settled",192950,2022-03-29,2022-06-27,"other"
"1943","house","ed45ffea",199770,269000,54000,5000,"under investigation",0,2012-09-21,NA,"fire"
"1944","house","d1e738b4",216950,226000,45000,2000,"denied",0,2011-05-26,NA,"nat cat"
"1945","house","3fa16922",195560,505000,101000,500,"settled",195060,2013-07-29,2013-10-27,"fire"
"1946","house","34862e2e",216480,398000,80000,5000,"under investigation",0,2017-05-09,NA,"nat cat"
"1947","house","55ec2e01",185920,320000,64000,500,"open",20000,2019-01-29,2019-04-29,"theft"
"1948","house","907c3b0f",192960,372000,74000,500,"settled",192460,2013-04-18,2013-07-17,"nat cat"
"1949","house","4cfbdf3e",219520,769000,154000,5000,"settled",214520,2007-10-03,2008-01-01,"water damage"
"1950","house","96c9bc9c",192290,473000,95000,500,"open",20000,2021-03-29,2021-06-27,"theft"
"1951","house","5a79108a",204270,424000,85000,1000,"settled",203270,2006-02-23,2006-05-24,"water damage"
"1952","house","e91db6cd",197050,464000,93000,1000,"settled",196050,2022-04-11,2022-07-10,"nat cat"
"1953","house","d007b808",215830,4e+05,80000,2000,"under investigation",0,2006-09-09,NA,"fire"
"1954","house","2ea11097",195200,898000,180000,500,"settled",194700,2021-11-22,2022-02-20,"water damage"
"1955","house","6558b3ec",218790,286000,57000,2000,"settled",216790,2013-08-08,2013-11-06,"fire"
"1956","house","780412bc",200020,625000,125000,5000,"under investigation",0,2019-10-07,NA,"other"
"1957","house","4f402cf3",216550,553000,111000,500,"settled",216050,2022-07-12,2022-10-10,"fire"
"1958","house","62164472",183300,401000,80000,5000,"settled",178300,2007-02-09,2007-05-10,"nat cat"
"1959","house","081ee722",196840,492000,98000,500,"settled",196340,2007-06-23,2007-09-21,"other"
"1960","house","0b74ceef",193480,345000,69000,1000,"open",20000,2016-11-26,2017-02-24,"theft"
"1961","house","adc3b717",196850,630000,126000,2000,"under investigation",0,2015-09-12,NA,"water damage"
"1962","house","207a5fb5",205510,182000,36000,2000,"settled",203510,2023-05-22,2023-08-20,"water damage"
"1963","house","d4660121",206270,349000,70000,2000,"settled",204270,2004-06-25,2004-09-23,"fire"
"1964","house","218a6359",206840,394000,79000,2000,"settled",204840,2016-10-18,2017-01-16,"water damage"
"1965","house","5998f6e7",198940,384000,77000,2000,"open",20000,2005-10-15,2006-01-13,"theft"
"1966","house","c74f84ac",201290,477000,95000,500,"under investigation",0,2015-03-31,NA,"fire"
"1967","house","a97975f4",218140,322000,64000,500,"settled",217640,2010-07-23,2010-10-21,"fire"
"1968","house","8d7384d0",187790,577000,115000,1000,"open",20000,2019-11-07,2020-02-05,"theft"
"1969","house","e78b0c13",181180,405000,81000,1000,"under investigation",0,2016-08-23,NA,"fire"
"1970","house","49867a43",185760,294000,59000,1000,"settled",184760,2015-12-22,2016-03-21,"other"
"1971","house","d70d891e",189290,320000,64000,500,"settled",188790,2019-11-25,2020-02-23,"other"
"1972","house","c83c3878",196240,316000,63000,1000,"settled",195240,2006-04-09,2006-07-08,"water damage"
"1973","house","c8459a4f",235760,324000,65000,5000,"settled",230760,2010-08-31,2010-11-29,"fire"
"1974","house","68cb2ba6",225970,442000,88000,2000,"under investigation",0,2016-05-11,NA,"fire"
"1975","house","91614d2b",196720,330000,66000,500,"settled",196220,2020-06-09,2020-09-07,"fire"
"1976","house","f3016bbf",181760,574000,115000,2000,"settled",179760,2017-02-10,2017-05-11,"fire"
"1977","house","21068145",185550,337000,67000,500,"settled",185050,2011-04-05,2011-07-04,"water damage"
"1978","house","22686f9d",210990,578000,116000,5000,"under investigation",0,2016-12-12,NA,"fire"
"1979","house","b5edcfc0",212040,427000,85000,1000,"settled",211040,2004-08-20,2004-11-18,"water damage"
"1980","house","cb7f7e57",202950,548000,110000,2000,"settled",200950,2011-08-24,2011-11-22,"water damage"
"1981","house","27c6d4d7",193290,542000,108000,5000,"settled",188290,2010-04-14,2010-07-13,"fire"
"1982","house","d586dc08",204990,455000,91000,5000,"settled",199990,2009-11-12,2010-02-10,"other"
"1983","house","6f6b8dfa",220240,743000,149000,5000,"settled",215240,2008-07-03,2008-10-01,"other"
"1984","house","dbca1ab7",187690,86000,17000,5000,"settled",182690,2019-07-08,2019-10-06,"water damage"
"1985","house","58666cd5",195050,408000,82000,2000,"settled",193050,2013-01-06,2013-04-06,"water damage"
"1986","house","ddb6f2a5",201240,392000,78000,2000,"settled",199240,2013-03-16,2013-06-14,"water damage"
"1987","house","4327f683",208240,253000,51000,2000,"settled",206240,2014-04-10,2014-07-09,"fire"
"1988","house","6222f3c8",192160,328000,66000,500,"settled",191660,2006-10-27,2007-01-25,"water damage"
"1989","house","412202e6",225600,513000,103000,2000,"settled",223600,2012-07-13,2012-10-11,"fire"
"1990","house","dec44357",188580,438000,88000,1000,"under investigation",0,2018-12-23,NA,"fire"
"1991","house","d45b72ba",190200,844000,169000,2000,"settled",188200,2015-05-07,2015-08-05,"other"
"1992","house","3ce6b287",185940,628000,126000,500,"settled",185440,2022-10-23,2023-01-21,"water damage"
"1993","house","e26ede98",189260,453000,91000,5000,"settled",184260,2017-03-06,2017-06-04,"nat cat"
"1994","house","7c180bd8",200690,399000,80000,2000,"settled",198690,2023-02-17,2023-05-18,"fire"
"1995","house","01c176d0",208400,393000,79000,5000,"denied",0,2013-08-27,NA,"nat cat"
"1996","house","d711011d",227500,532000,106000,5000,"denied",0,2005-09-25,NA,"fire"
"1997","house","6da1ba7a",222390,658000,132000,2000,"settled",220390,2005-11-22,2006-02-20,"water damage"
"1998","house","fd26c00d",190720,681000,136000,5000,"settled",185720,2021-08-08,2021-11-06,"fire"
"1999","house","8ceaa743",174980,402000,80000,1000,"settled",173980,2011-07-20,2011-10-18,"water damage"
"2000","house","4c9ff43e",197120,499000,1e+05,500,"under investigation",0,2014-10-29,NA,"nat cat"
"2001","house","a2c10994",186010,485000,97000,500,"settled",185510,2006-10-23,2007-01-21,"fire"
"2002","house","e0548fd0",220990,672000,134000,1000,"open",20000,2005-06-30,2005-09-28,"theft"
"2003","house","9eb8f819",209550,541000,108000,1000,"settled",208550,2017-10-04,2018-01-02,"nat cat"
"2004","house","76ed266d",195470,584000,117000,2000,"settled",193470,2004-10-19,2005-01-17,"other"
"2005","house","ce8a0196",230760,313000,63000,2000,"open",20000,2019-04-05,2019-07-04,"theft"
"2006","house","e88b93cb",197810,633000,127000,500,"open",20000,2017-11-02,2018-01-31,"theft"
"2007","house","faa52f8a",203810,468000,94000,500,"settled",203310,2023-05-10,2023-08-08,"fire"
"2008","house","66fee5ae",204250,467000,93000,500,"settled",203750,2005-11-01,2006-01-30,"other"
"2009","house","4ab45330",188060,487000,97000,1000,"settled",187060,2022-05-26,2022-08-24,"nat cat"
"2010","house","28d4af98",199940,613000,123000,1000,"settled",198940,2009-08-08,2009-11-06,"nat cat"
"2011","house","990c33db",205400,347000,69000,500,"settled",204900,2013-04-21,2013-07-20,"fire"
"2012","house","4d383d9c",200520,511000,102000,5000,"settled",195520,2006-06-13,2006-09-11,"water damage"
"2013","house","9bfbfebe",215930,532000,106000,500,"open",20000,2006-08-24,2006-11-22,"theft"
"2014","house","cf1af434",207640,25000,5000,2000,"settled",205640,2008-10-19,2009-01-17,"water damage"
"2015","house","aa5cc17e",196660,510000,102000,1000,"settled",195660,2013-01-22,2013-04-22,"fire"
"2016","house","ee52a72e",187350,137000,27000,5000,"settled",182350,2014-02-26,2014-05-27,"fire"
"2017","house","b3b9d905",216490,502000,1e+05,2000,"denied",0,2014-03-16,NA,"fire"
"2018","house","c33bda8c",199880,644000,129000,2000,"settled",197880,2008-04-04,2008-07-03,"fire"
"2019","house","88c4b7c1",193380,511000,102000,1000,"denied",0,2012-12-30,NA,"fire"
"2020","house","f2d9b36c",192330,477000,95000,1000,"settled",191330,2013-07-30,2013-10-28,"nat cat"
"2021","house","4c2f013b",200180,335000,67000,1000,"settled",199180,2018-06-23,2018-09-21,"water damage"
"2022","house","2108ae4c",209560,455000,91000,500,"settled",209060,2015-11-22,2016-02-20,"nat cat"
"2023","house","12c40471",220010,443000,89000,2000,"settled",218010,2007-08-15,2007-11-13,"water damage"
"2024","house","b2ef3647",178010,504000,101000,1000,"settled",177010,2019-01-21,2019-04-21,"fire"
"2025","house","bfd1e8f2",187730,674000,135000,2000,"settled",185730,2007-03-26,2007-06-24,"water damage"
"2026","house","e4a8ecc5",225730,470000,94000,500,"settled",225230,2005-04-12,2005-07-11,"water damage"
"2027","house","c7634793",205540,98000,20000,5000,"open",20000,2021-09-30,2021-12-29,"theft"
"2028","house","70dc8dd4",174550,461000,92000,500,"settled",174050,2022-11-26,2023-02-24,"fire"
"2029","house","6e66fce6",216790,569000,114000,5000,"settled",211790,2008-08-28,2008-11-26,"nat cat"
"2030","house","25441af0",185580,352000,70000,5000,"settled",180580,2005-04-04,2005-07-03,"fire"
"2031","house","ff8db082",186690,206000,41000,500,"settled",186190,2005-07-11,2005-10-09,"fire"
"2032","house","6368d4be",176940,624000,125000,1000,"settled",175940,2007-10-08,2008-01-06,"fire"
"2033","house","0cbd4b2e",196670,451000,90000,5000,"settled",191670,2010-03-10,2010-06-08,"water damage"
"2034","house","67f50c94",192300,297000,59000,2000,"under investigation",0,2022-07-08,NA,"fire"
"2035","house","aac591c1",205490,568000,114000,500,"settled",204990,2007-01-04,2007-04-04,"other"
"2036","house","ddc2d84d",202740,3e+05,60000,5000,"open",20000,2009-08-15,2009-11-13,"theft"
"2037","house","05d15849",207380,460000,92000,500,"settled",206880,2007-11-06,2008-02-04,"water damage"
"2038","house","e97856af",212630,315000,63000,1000,"under investigation",0,2014-11-24,NA,"water damage"
"2039","house","08a1d339",193970,241000,48000,500,"denied",0,2007-01-27,NA,"fire"
"2040","house","6b28e7b6",206380,370000,74000,5000,"denied",0,2013-01-10,NA,"fire"
"2041","house","2d5077e7",219530,509000,102000,1000,"settled",218530,2007-12-07,2008-03-06,"nat cat"
"2042","house","d0952cb8",221160,520000,104000,1000,"settled",220160,2015-02-20,2015-05-21,"water damage"
"2043","house","0d6970f4",212950,597000,119000,1000,"settled",211950,2022-04-27,2022-07-26,"water damage"
"2044","house","d05896d1",189290,284000,57000,5000,"settled",184290,2015-05-11,2015-08-09,"water damage"
"2045","house","af75ab21",200410,4e+05,80000,2000,"settled",198410,2016-02-11,2016-05-11,"fire"
"2046","house","c7980ffa",178190,347000,69000,1000,"settled",177190,2022-02-02,2022-05-03,"nat cat"
"2047","house","3e6709ec",193440,446000,89000,2000,"settled",191440,2012-10-15,2013-01-13,"nat cat"
"2048","house","bf9b9151",197830,448000,90000,2000,"under investigation",0,2012-11-06,NA,"fire"
"2049","house","1dd5b258",230680,238000,48000,1000,"under investigation",0,2018-08-18,NA,"water damage"
"2050","house","93f0eda3",207500,262000,52000,500,"under investigation",0,2023-07-19,NA,"water damage"
"2051","house","0c509d56",200380,684000,137000,2000,"denied",0,2016-02-09,NA,"fire"
"2052","house","fea415f4",180480,493000,99000,2000,"under investigation",0,2013-06-03,NA,"water damage"
"2053","house","1da75f14",203760,642000,128000,500,"under investigation",0,2004-07-16,NA,"fire"
"2054","house","a98d5a8d",213920,497000,99000,500,"under investigation",0,2015-05-19,NA,"nat cat"
"2055","house","80b3d8d1",197230,623000,125000,500,"settled",196730,2008-08-08,2008-11-06,"water damage"
"2056","house","c93e6e99",197580,504000,101000,5000,"settled",192580,2017-03-30,2017-06-28,"water damage"
"2057","house","6a8a8e9a",204860,291000,58000,1000,"settled",203860,2010-01-16,2010-04-16,"water damage"
"2058","house","19cdf166",187320,306000,61000,2000,"denied",0,2021-04-06,NA,"fire"
"2059","house","8d6104f8",172110,396000,79000,1000,"settled",171110,2020-05-26,2020-08-24,"fire"
"2060","house","c4989026",183670,291000,58000,5000,"settled",178670,2009-11-23,2010-02-21,"water damage"
"2061","house","7e49837f",178630,406000,81000,1000,"settled",177630,2014-06-21,2014-09-19,"nat cat"
"2062","house","bdf991a6",188640,467000,93000,5000,"settled",183640,2017-05-05,2017-08-03,"fire"
"2063","house","2e54f8ee",202650,323000,65000,500,"settled",202150,2020-07-12,2020-10-10,"water damage"
"2064","house","7fdf3b36",203290,307000,61000,2000,"under investigation",0,2008-01-13,NA,"water damage"
"2065","house","3cd2b8c9",198750,567000,113000,1000,"under investigation",0,2011-09-22,NA,"nat cat"
"2066","house","40ca6a8d",193300,691000,138000,2000,"settled",191300,2023-12-17,2024-03-16,"fire"
"2067","house","65c3107c",221830,608000,122000,500,"settled",221330,2007-02-06,2007-05-07,"water damage"
"2068","house","830dd2d8",213600,430000,86000,2000,"settled",211600,2022-09-11,2022-12-10,"fire"
"2069","house","816473f5",187660,95000,19000,2000,"settled",185660,2021-04-12,2021-07-11,"water damage"
"2070","house","7ea1fe27",224370,506000,101000,2000,"settled",222370,2019-07-22,2019-10-20,"nat cat"
"2071","house","14c9ec44",212880,774000,155000,2000,"settled",210880,2010-03-06,2010-06-04,"water damage"
"2072","house","54f32402",205570,581000,116000,500,"settled",205070,2005-01-20,2005-04-20,"nat cat"
"2073","house","04ab0b39",206890,258000,52000,2000,"settled",204890,2019-08-03,2019-11-01,"fire"
"2074","house","6b2b4058",193940,305000,61000,5000,"settled",188940,2004-03-27,2004-06-25,"fire"
"2075","house","e0e63bd6",207620,321000,64000,2000,"under investigation",0,2010-04-15,NA,"fire"
"2076","house","d1aa6281",208010,485000,97000,5000,"settled",203010,2023-07-04,2023-10-02,"fire"
"2077","house","1f0ce790",177670,489000,98000,1000,"settled",176670,2004-11-17,2005-02-15,"fire"
"2078","house","9b908b00",209520,335000,67000,2000,"settled",207520,2020-12-08,2021-03-08,"other"
"2079","house","26f5bb82",210270,551000,110000,5000,"settled",205270,2018-05-30,2018-08-28,"nat cat"
"2080","house","bef114bb",186910,188000,38000,2000,"settled",184910,2005-04-30,2005-07-29,"nat cat"
"2081","house","f834bb27",218790,596000,119000,5000,"denied",0,2022-03-06,NA,"other"
"2082","house","6bd766cc",195840,527000,105000,1000,"under investigation",0,2017-06-27,NA,"water damage"
"2083","house","593e3829",209990,249000,50000,1000,"settled",208990,2015-08-06,2015-11-04,"nat cat"
"2084","house","50ec495c",186390,326000,65000,5000,"open",20000,2016-11-12,2017-02-10,"theft"
"2085","house","666c0c16",204090,334000,67000,2000,"settled",202090,2020-05-30,2020-08-28,"water damage"
"2086","house","8ac1e7dd",204140,386000,77000,1000,"under investigation",0,2014-06-28,NA,"nat cat"
"2087","house","8c7fa8c6",194580,688000,138000,500,"under investigation",0,2006-07-22,NA,"nat cat"
"2088","house","e6e2b301",208150,257000,51000,5000,"settled",203150,2012-01-26,2012-04-25,"fire"
"2089","house","845c4863",220970,252000,50000,5000,"settled",215970,2022-07-06,2022-10-04,"water damage"
"2090","house","1bab7ecb",183480,549000,110000,1000,"open",20000,2004-02-18,2004-05-18,"theft"
"2091","house","be8bbac9",218520,170000,34000,2000,"settled",216520,2010-09-28,2010-12-27,"water damage"
"2092","house","1285530b",224130,425000,85000,1000,"settled",223130,2023-04-27,2023-07-26,"fire"
"2093","house","b6e97095",189890,270000,54000,2000,"settled",187890,2011-05-01,2011-07-30,"water damage"
"2094","house","71a2e3e6",204110,487000,97000,2000,"settled",202110,2014-06-02,2014-08-31,"fire"
"2095","house","8694edd8",184840,537000,107000,5000,"settled",179840,2015-02-01,2015-05-02,"fire"
"2096","house","30efa396",200070,458000,92000,1000,"settled",199070,2005-12-03,2006-03-03,"nat cat"
"2097","house","e43cca19",210800,415000,83000,500,"settled",210300,2017-03-31,2017-06-29,"fire"
"2098","house","924be1d7",220550,317000,63000,2000,"settled",218550,2017-07-23,2017-10-21,"nat cat"
"2099","house","3695fefe",183290,192000,38000,500,"open",20000,2013-11-16,2014-02-14,"theft"
"2100","house","95d2b83f",176540,348000,70000,5000,"settled",171540,2009-05-01,2009-07-30,"nat cat"
"2101","house","1c3b321f",184660,660000,132000,500,"settled",184160,2014-07-08,2014-10-06,"fire"
"2102","house","56b2a9ae",180760,160000,32000,2000,"settled",178760,2005-08-27,2005-11-25,"nat cat"
"2103","house","20b20f08",193120,384000,77000,500,"settled",192620,2006-02-20,2006-05-21,"fire"
"2104","house","5674aedd",180890,296000,59000,5000,"under investigation",0,2020-04-14,NA,"other"
"2105","house","03c824b9",213150,525000,105000,5000,"settled",208150,2004-10-06,2005-01-04,"fire"
"2106","house","fb067417",186130,354000,71000,1000,"settled",185130,2016-02-21,2016-05-21,"water damage"
"2107","house","be01e7ea",226180,394000,79000,2000,"settled",224180,2014-09-16,2014-12-15,"fire"
"2108","house","576c863d",194850,255000,51000,2000,"settled",192850,2022-10-28,2023-01-26,"fire"
"2109","house","e0b8ae31",189030,216000,43000,1000,"settled",188030,2007-06-15,2007-09-13,"fire"
"2110","house","5e86d0a9",204780,308000,62000,500,"settled",204280,2005-11-09,2006-02-07,"fire"
"2111","house","f1150d83",205960,301000,60000,1000,"settled",204960,2022-03-26,2022-06-24,"nat cat"
"2112","house","148eee81",214400,71000,14000,2000,"settled",212400,2012-11-22,2013-02-20,"water damage"
"2113","house","7a870956",197640,410000,82000,500,"settled",197140,2017-01-24,2017-04-24,"water damage"
"2114","house","a87a5c4c",172220,613000,123000,5000,"settled",167220,2023-11-11,2024-02-09,"fire"
"2115","house","222b90b1",193360,345000,69000,5000,"settled",188360,2005-11-09,2006-02-07,"nat cat"
"2116","house","ca46df04",234700,308000,62000,2000,"open",20000,2019-04-03,2019-07-02,"theft"
"2117","house","2b561267",187760,193000,39000,500,"settled",187260,2014-10-20,2015-01-18,"nat cat"
"2118","house","15ba9cfe",208220,759000,152000,500,"open",20000,2006-01-18,2006-04-18,"theft"
"2119","house","7ea7abd2",187860,475000,95000,5000,"settled",182860,2014-01-17,2014-04-17,"water damage"
"2120","house","4d0ce43d",194820,353000,71000,500,"denied",0,2011-09-20,NA,"water damage"
"2121","house","2b262a16",175910,518000,104000,1000,"settled",174910,2018-04-06,2018-07-05,"fire"
"2122","house","73423d15",183720,406000,81000,5000,"settled",178720,2008-09-05,2008-12-04,"other"
"2123","house","72e89f55",200270,448000,90000,5000,"open",20000,2023-10-26,2024-01-24,"theft"
"2124","house","a16759d9",193370,433000,87000,1000,"settled",192370,2023-06-19,2023-09-17,"fire"
"2125","house","bd3128c3",229450,485000,97000,2000,"settled",227450,2019-10-04,2020-01-02,"water damage"
"2126","house","78126c20",203500,581000,116000,1000,"settled",202500,2019-02-23,2019-05-24,"fire"
"2127","house","40d0b62f",198610,476000,95000,500,"settled",198110,2008-10-02,2008-12-31,"water damage"
"2128","house","7c4e4115",191550,128000,26000,1000,"open",20000,2007-10-19,2008-01-17,"theft"
"2129","house","097baab0",198720,331000,66000,2000,"under investigation",0,2011-02-21,NA,"water damage"
"2130","house","185ad296",222700,385000,77000,1000,"settled",221700,2004-04-23,2004-07-22,"fire"
"2131","house","f767ddfb",201010,316000,63000,500,"open",20000,2020-11-02,2021-01-31,"theft"
"2132","house","68e55300",206270,681000,136000,500,"under investigation",0,2019-04-15,NA,"fire"
"2133","house","00413d96",211720,319000,64000,2000,"settled",209720,2010-01-22,2010-04-22,"fire"
"2134","house","633d232d",217030,541000,108000,2000,"settled",215030,2018-06-13,2018-09-11,"nat cat"
"2135","house","06c38dc7",191540,643000,129000,500,"settled",191040,2015-09-29,2015-12-28,"fire"
"2136","house","5bca12f0",206440,533000,107000,1000,"settled",205440,2010-07-14,2010-10-12,"other"
"2137","house","aa69e5ba",192900,470000,94000,500,"under investigation",0,2020-08-19,NA,"water damage"
"2138","house","ed3ba151",188220,509000,102000,5000,"settled",183220,2023-08-19,2023-11-17,"other"
"2139","house","5d807a88",215400,443000,89000,500,"settled",214900,2012-04-17,2012-07-16,"water damage"
"2140","house","3fac5e5b",186120,472000,94000,2000,"settled",184120,2021-06-27,2021-09-25,"fire"
"2141","house","40927b13",178640,452000,90000,5000,"settled",173640,2013-03-17,2013-06-15,"water damage"
"2142","house","84e178a3",200460,622000,124000,5000,"settled",195460,2016-03-26,2016-06-24,"fire"
"2143","house","2fb02367",204210,283000,57000,500,"denied",0,2020-03-17,NA,"water damage"
"2144","house","b0724b17",203470,472000,94000,1000,"under investigation",0,2013-04-26,NA,"water damage"
"2145","house","5a1e9d33",207760,326000,65000,1000,"settled",206760,2010-07-22,2010-10-20,"water damage"
"2146","house","9f65f327",199470,535000,107000,2000,"under investigation",0,2010-04-28,NA,"water damage"
"2147","house","6df0348b",196100,388000,78000,5000,"settled",191100,2014-09-12,2014-12-11,"fire"
"2148","house","cbc7141c",198990,354000,71000,2000,"settled",196990,2012-04-11,2012-07-10,"other"
"2149","house","660fc1f3",198270,212000,42000,5000,"open",20000,2004-06-01,2004-08-30,"theft"
"2150","house","cc63318b",214540,5e+05,1e+05,2000,"settled",212540,2022-12-20,2023-03-20,"water damage"
